品目,生産国,検査件数,検査数量,消毒件数,消毒数量,廃棄件数,廃棄数量,年
シナサルナシ（キウイフルーツ）（花粉）,中国,1,1,,,,,2012
シナサルナシ（キウイフルーツ）（花粉）,ニュージーランド,7,319,,,,,2012
シナサルナシ（キウイフルーツ）（花粉）,小計,8,320,,,,,2012
シナサルナシ（キウイフルーツ）（花粉）,中国,1,1,,,,,2013
シナサルナシ（キウイフルーツ）（花粉）,ニュージーランド,4,110,,,,,2013
シナサルナシ（キウイフルーツ）（花粉）,小計,5,111,,,,,2013
シナサルナシ（キウイフルーツ）（花粉）,中国,4,65,0,0,2,2,2014
シナサルナシ（キウイフルーツ）（花粉）,米国,2,2,0,0,0,0,2014
シナサルナシ（キウイフルーツ）（花粉）,オーストラリア,2,30,0,0,0,0,2014
シナサルナシ（キウイフルーツ）（花粉）,ニュージーランド,3,117,0,0,0,0,2014
シナサルナシ（キウイフルーツ）（花粉）,小計,11,214,0,0,2,2,2014
キウイフルーツ（シナサルナシ）（花粉）,中国,3,3,0,0,3,3,2015
キウイフルーツ（シナサルナシ）（花粉）,米国,4,75,0,0,0,0,2015
キウイフルーツ（シナサルナシ）（花粉）,チリ,3,63,0,0,0,0,2015
キウイフルーツ（シナサルナシ）（花粉）,ニュージーランド,3,121,1,1,1,20,2015
キウイフルーツ（シナサルナシ）（花粉）,小計,13,262,1,1,4,23,2015
キウイフルーツ（シナサルナシ）（花粉）,韓国,1,1,0,0,0,0,2016
キウイフルーツ（シナサルナシ）（花粉）,米国,1,51,0,0,0,0,2016
キウイフルーツ（シナサルナシ）（花粉）,チリ,1,39,0,0,0,0,2016
キウイフルーツ（シナサルナシ）（花粉）,オーストラリア,1,30,0,0,0,0,2016
キウイフルーツ（シナサルナシ）（花粉）,ニュージーランド,2,200,0,0,0,0,2016
キウイフルーツ（シナサルナシ）（花粉）,小計,6,321,0,0,0,0,2016
キウイフルーツ（シナサルナシ）（花粉）,米国,5,52,0,0,0,0,2017
キウイフルーツ（シナサルナシ）（花粉）,チリ,1,42,0,0,0,0,2017
キウイフルーツ（シナサルナシ）（花粉）,オーストラリア,2,37,0,0,0,0,2017
キウイフルーツ（シナサルナシ）（花粉）,ニュージーランド,2,35,0,0,0,0,2017
キウイフルーツ（シナサルナシ）（花粉）,小計,10,166,0,0,0,0,2017
キウイフルーツ（シナサルナシ）（花粉）,米国,4,61,0,0,0,0,2018
キウイフルーツ（シナサルナシ）（花粉）,オーストラリア,1,25,0,0,0,0,2018
キウイフルーツ（シナサルナシ）（花粉）,ニュージーランド,3,100,0,0,0,0,2018
キウイフルーツ（シナサルナシ）（花粉）,小計,8,186,0,0,0,0,2018
キウイフルーツ（シナサルナシ）（花粉）,米国,4,62,0,0,0,0,2019
キウイフルーツ（シナサルナシ）（花粉）,チリ,3,4,0,0,0,0,2019
キウイフルーツ（シナサルナシ）（花粉）,オーストラリア,1,12,0,0,0,0,2019
キウイフルーツ（シナサルナシ）（花粉）,ニュージーランド,3,110,0,0,0,0,2019
キウイフルーツ（シナサルナシ）（花粉）,小計,11,188,0,0,0,0,2019
キウイフルーツ（シナサルナシ）（花粉）,米国,2,67,0,0,0,0,2020
キウイフルーツ（シナサルナシ）（花粉）,チリ,1,5,0,0,0,0,2020
キウイフルーツ（シナサルナシ）（花粉）,オーストラリア,1,12,0,0,0,0,2020
キウイフルーツ（シナサルナシ）（花粉）,ニュージーランド,2,113,0,0,0,0,2020
キウイフルーツ（シナサルナシ）（花粉）,小計,6,197,0,0,0,0,2020
キウイフルーツ（シナサルナシ）（花粉）,米国,2,21,0,0,0,0,2021
キウイフルーツ（シナサルナシ）（花粉）,オーストラリア,1,5,0,0,0,0,2021
キウイフルーツ（シナサルナシ）（花粉）,ニュージーランド,2,82,0,0,0,0,2021
キウイフルーツ（シナサルナシ）（花粉）,小計,5,108,0,0,0,0,2021
キウイフルーツ（シナサルナシ）（花粉）,米国,3,12,0,0,0,0,2022
キウイフルーツ（シナサルナシ）（花粉）,ニュージーランド,3,73,0,0,0,0,2022
キウイフルーツ（シナサルナシ）（花粉）,小計,6,85,0,0,0,0,2022
キウイフルーツ（シナサルナシ）（花粉）,ニュージーランド,4,147,0,0,0,0,2023
キウイフルーツ（シナサルナシ）（花粉）,小計,4,147,0,0,0,0,2023